# {
#     "command": "/media/storage/home/mariokeller/applications/MAJIQv2.3_Oct_2022/bin/voila modulize --changing-between-group-dpsi 0.02 --non-changing-between-group-dpsi 0.02 --changing-between-group-dpsi-secondary 0.01 --probability-changing-threshold 0.9 --probability-non-changing-threshold 0.5 --show-all -j 6 -d /media/storage/home/mklostermann/spezialisierung_wise22/lisa_SFPQ/modulise/SFPQ_K562_Control-SFPQ_K562_shRNA /media/storage/home/mklostermann/spezialisierung_wise22/lisa_SFPQ/build/splicegraph.sql /media/storage/home/mklostermann/spezialisierung_wise22/lisa_SFPQ/dpsi/SFPQ_K562_Control-SFPQ_K562_shRNA.deltapsi.voila",
#     "dpsi_changing_threshold": 0.02,
#     "dpsi_nonchanging_threshold": 0.5,
#     "dpsi_probability_changing_threshold": 0.9,
#     "voila_version": "2.4.dev3+g85d07819"
# }
module_id	gene_id	gene_name	seqid	strand	lsv_id	event_id	complex	module_event_combination	denovo	junction_name	junction_coord	event_non_changing	event_changing	junction_changing	SFPQ_K562_Control_median_psi	SFPQ_K562_shRNA_median_psi	SFPQ_K562_shRNA-SFPQ_K562_Control_median_dpsi	SFPQ_K562_shRNA-SFPQ_K562_Control_probability_changing	SFPQ_K562_shRNA-SFPQ_K562_Control_probability_non_changing
ENSG00000279457.4_1	ENSG00000279457.4	WASH9P	chr1	-	ENSG00000279457.4:s:195263-195411	ENSG00000279457.4_1_AI_1	False	ir^1	True	C1_C2_intron	188903-195262	False	False	False	0.981	0.849	-0.077	0.723	0.048
ENSG00000279457.4_2	ENSG00000279457.4	WASH9P	chr1	-	ENSG00000279457.4:s:187129-187287	ENSG00000279457.4_2_AI_1	False	ir^1	True	C1_C2_intron	186470-187128	False	False	False	0.919	0.796	-0.085	0.804	0.033
ENSG00000228463.10_1	ENSG00000228463.10	ENSG00000228463	chr1	-	ENSG00000228463.10:s:267303-268204	ENSG00000228463.10_1_ale_1	False	ale^1	False	Proximal	261634-267303	False	False	False	0.88	0.975	0.065	0.813	0.037
ENSG00000100523.16_1	ENSG00000100523.16	DDHD1	chr14	-	ENSG00000100523.16:s:53103299-53104146	ENSG00000100523.16_1_ale_1	True	cassette^1|ale^2|multi_exon_spanning^1	False	Proximal	53103051-53103683	False	False	False	0.014	0.053	0.01	0.362	0.362
ENSG00000100523.16_2	ENSG00000100523.16	DDHD1	chr14	-	ENSG00000100523.16:s:53072597-53072703	ENSG00000100523.16_2_A3_1	False	alt3^1	False	Proximal	53063205-53072597	False	False	False	0.892	0.977	0.048	0.7	0.074
ENSG00000258985.1_1	ENSG00000258985.1	ENSG00000258985	chr14	+	ENSG00000258985.1:s:53036755-53037073	ENSG00000258985.1_1_AI_1	False	ir^1	True	C1_C2_intron	53037074-53038204	False	False	False	0.948	0.98	0.014	0.433	0.319
ENSG00000290385.1_5	ENSG00000290385.1	ENSG00000290385	chr1	-	ENSG00000290385.1:s:498399-498456	ENSG00000290385.1_5_CE_1	True	cassette^2|alt5^1	False	C1_A	498305-498399	False	False	False	0.568	0.457	-0.099	0.849	0.02
ENSG00000290385.1_1	ENSG00000290385.1	ENSG00000290385	chr1	-	ENSG00000290385.1:s:517156-517266	ENSG00000290385.1_1_A5_1	False	alt5^1	False	Proximal	514423-517156	False	False	False	0.491	0.702	0.139	0.802	0.014
ENSG00000290385.1_3	ENSG00000290385.1	ENSG00000290385	chr1	-	ENSG00000290385.1:t:501556-501620	ENSG00000290385.1_3_afe_1	True	mxe^1|afe^2|multi_exon_spanning^1	False	Proximal	501620-502187	False	False	False	0.799	0.827	0.019	0.574	0.127
ENSG00000290385.1_4	ENSG00000290385.1	ENSG00000290385	chr1	-	ENSG00000290385.1:t:498399-498456	ENSG00000290385.1_4_afe_1	True	ale^1|afe^1|multi_exon_spanning^1|other^1	False	Proximal	498456-498684	False	False	False	0.485	0.639	0.141	0.823	0.013
ENSG00000290385.1_6	ENSG00000290385.1	ENSG00000290385	chr1	-	ENSG00000290385.1:t:494992-495049	ENSG00000290385.1_6_afe_1	False	afe^1	False	Proximal	495049-495277	False	False	False	0.134	0.301	0.105	0.779	0.023
ENSG00000290385.1_2	ENSG00000290385.1	ENSG00000290385	chr1	-	ENSG00000290385.1:s:514359-514423	ENSG00000290385.1_2_pALE_1	False	putative_ale^1	True	Proximal	512135-514359	False	False	False	0.29	0.305	0.009	0.654	0.064
ENSG00000134046.12_1	ENSG00000134046.12	MBD2	chr18	-	ENSG00000134046.12:t:54164523-54164700	ENSG00000134046.12_1_other	True	afe^1|multi_exon_spanning^1|other^1	False	J3	54164700-54166076	False	False	False	0.898	0.943	0.03	0.583	0.142
ENSG00000170266.16_1	ENSG00000170266.16	GLB1	chr3	-	ENSG00000170266.16:t:33072544-33072715	ENSG00000170266.16_1_CE_1	True	cassette^1|afe^2|multi_exon_spanning^1	False	C2_A	33072713-33077094	False	False	False	0.022	0.074	0.044	0.815	0.053
ENSG00000170266.16_2	ENSG00000170266.16	GLB1	chr3	-	ENSG00000170266.16:t:33024247-33024425	ENSG00000170266.16_2_afe_1	False	afe^1	False	Proximal	33024325-33030032	False	False	False	0.011	0.051	0.017	0.457	0.277
ENSG00000100526.21_2	ENSG00000100526.21	CDKN3	chr14	+	ENSG00000100526.21:t:54417848-54417951	ENSG00000100526.21_2_CE_1	False	cassette^1	False	C2_A	54415930-54417848	False	False	False	0.93	0.897	-0.02	0.506	0.238
ENSG00000100526.21_3	ENSG00000100526.21	CDKN3	chr14	+	ENSG00000100526.21:s:54417848-54417951	ENSG00000100526.21_3_CE_1	False	cassette^1	False	C1_A	54417951-54418214	False	False	False	0.054	0.056	0.0	0.438	0.306
ENSG00000100526.21_1	ENSG00000100526.21	CDKN3	chr14	+	ENSG00000100526.21:t:54401524-54401579	ENSG00000100526.21_1_afe_1	True	ale^1|afe^1|multi_exon_spanning^1	False	Proximal	54399976-54401524	False	True	True	0.856	0.451	-0.403	1.0	0.0
ENSG00000230021.10_2	ENSG00000230021.10	ENSG00000230021	chr1	-	ENSG00000230021.10:t:601398-601577	ENSG00000230021.10_2_afe_1	True	afe^1|multi_exon_spanning^1	False	Proximal	601577-607955	False	False	False	0.94	0.988	0.024	0.447	0.215
ENSG00000230021.10_1	ENSG00000230021.10	ENSG00000230021	chr1	-	ENSG00000230021.10:s:738834-739024	ENSG00000230021.10_1_pALE_1	False	putative_ale^1	True	Proximal	736770-738834	False	False	False	0.623	0.508	-0.088	0.796	0.028
ENSG00000100528.12_1	ENSG00000100528.12	CNIH1	chr14	-	ENSG00000100528.12:t:54430158-54430404	ENSG00000100528.12_1_CE_1	False	cassette^1	False	C2_A	54430404-54432108	False	False	False	0.931	0.872	-0.044	0.777	0.063
ENSG00000197045.13_1	ENSG00000197045.13	GMFB	chr14	-	ENSG00000197045.13:s:54483128-54483768	ENSG00000197045.13_1_ale_1	False	ale^1	False	Proximal	54482202-54483671	False	False	False	0.925	0.851	-0.055	0.656	0.067
ENSG00000100532.13_1	ENSG00000100532.13	CGRRF1	chr14	+	ENSG00000100532.13:s:54522454-54522593	ENSG00000100532.13_1_CE_1	False	cassette^1	False	C1_A	54522593-54523150	False	False	False	0.079	0.091	-0.007	0.542	0.117
ENSG00000020577.14_2	ENSG00000020577.14	SAMD4A	chr14	+	ENSG00000020577.14:t:54760161-54760494	ENSG00000020577.14_2_afe_1	False	afe^1	False	Proximal	54754897-54760161	False	True	True	0.55	0.866	0.254	0.908	0.003
ENSG00000020577.14_3	ENSG00000020577.14	SAMD4A	chr14	+	ENSG00000020577.14:t:54784537-54784620	ENSG00000020577.14_3_afe_1	False	afe^1	False	Proximal	54784447-54784537	False	False	False	0.04	0.083	0.025	0.57	0.162
ENSG00000020577.14_1	ENSG00000020577.14	SAMD4A	chr14	+	ENSG00000020577.14:s:54702062-54703867	ENSG00000020577.14_1_OR_1	True	ale^1|orphan_junc^1	True	Orphan	54721058-54728897	False	False						
ENSG00000188611.17_1	ENSG00000188611.17	ASAH2	chr10	-	ENSG00000188611.17:s:50199051-50199146	ENSG00000188611.17_1_CE_1	False	cassette^1	False	C1_A	50198369-50199051	False	False	False	0.107	0.014	-0.048	0.66	0.084
ENSG00000285774.5_1	ENSG00000285774.5	SAMD4A-AS1	chr14	-	ENSG00000285774.5:s:54728897-54729324	ENSG00000285774.5_1_pALE_1	False	putative_ale^1	True	Proximal	54721058-54728897	False	False	False	0.162	0.216	0.033	0.603	0.119
ENSG00000291215.1_1	ENSG00000291215.1	ENSG00000291215	chr1	-	ENSG00000291215.1:s:777752-778688	ENSG00000291215.1_1_A5_1	False	alt5^1	False	Proximal	774280-778284	False	False	False	0.282	0.465	0.141	0.872	0.011
ENSG00000291215.1_3	ENSG00000291215.1	ENSG00000291215	chr1	-	ENSG00000291215.1:t:733307-733364	ENSG00000291215.1_3_A5_1	True	alt5^1|afe^2|putative_ale^1|other^1	True	Proximal	733364-735419	False	False	False	0.014	0.076	0.042	0.704	0.086
ENSG00000291215.1_2	ENSG00000291215.1	ENSG00000291215	chr1	-	ENSG00000291215.1:s:756077-756141	ENSG00000291215.1_2_other	True	other^1	True	J6	753852-756077	False	False	False	0.985	0.908	-0.035	0.575	0.132
ENSG00000291215.1_4	ENSG00000291215.1	ENSG00000291215	chr1	-	ENSG00000291215.1:t:725885-729804	ENSG00000291215.1_4_other	True	other^1	True	J4	729804-729898	False	False	False	0.063	0.166	0.089	0.887	0.017
ENSG00000131979.20_1	ENSG00000131979.20	GCH1	chr14	-	ENSG00000131979.20:t:54842008-54843054	ENSG00000131979.20_1_AI_1	True	ir^1|afe^1	False	C2_C1_intron	54843055-54843781	False	False	False	0.941	0.836	-0.052	0.693	0.068
ENSG00000198554.12_1	ENSG00000198554.12	WDHD1	chr14	-	ENSG00000198554.12:s:55027028-55027105	ENSG00000198554.12_1_CE_1	False	cassette^1	False	C1_A	55026803-55027028	False	False	False	0.928	0.955	0.022	0.552	0.196
ENSG00000198554.12_2	ENSG00000198554.12	WDHD1	chr14	-	ENSG00000198554.12:s:54962498-54962551	ENSG00000198554.12_2_AI_1	True	alt3^1|ir^2	True	C1_C2_intron	54957636-54962497	False	False	False	0.051	0.039	-0.007	0.42	0.394
ENSG00000180008.9_1	ENSG00000180008.9	SOCS4	chr14	+	ENSG00000180008.9:s:55027230-55027471	ENSG00000180008.9_1_CE_1	False	cassette^1	False	C1_A	55027471-55031863	False	False	True	0.065	0.32	0.207	0.933	0.003
ENSG00000168175.15_1	ENSG00000168175.15	MAPK1IP1L	chr14	+	ENSG00000168175.15:t:55061680-55061701	ENSG00000168175.15_1_afe_1	True	cassette^1|afe^1|multi_exon_spanning^1	True	Proximal	55061173-55061680	False	False	False	0.046	0.07	0.018	0.513	0.238
ENSG00000228794.12_1	ENSG00000228794.12	LINC01128	chr1	+	ENSG00000228794.12:t:851348-852515	ENSG00000228794.12_1_afe_1	True	cassette^2|ale^1|afe^2|multi_exon_spanning^2	False	Proximal	850351-851927	False	False	False	0.052	0.012	-0.011	0.397	0.328
ENSG00000118418.15_1	ENSG00000118418.15	HMGN3	chr6	-	ENSG00000118418.15:s:79202276-79202389	ENSG00000118418.15_1_pA3_1	True	alt5^1|putative_alt3^1|ir^2	False	Proximal	79202155-79202276	False	False	False	0.016	0.057	0.02	0.528	0.226
ENSG00000126787.13_2	ENSG00000126787.13	DLGAP5	chr14	-	ENSG00000126787.13:t:55148112-55148473	ENSG00000126787.13_2_CE_1	True	cassette^1|alt3^1	False	C2_A	55148473-55148594	False	False	False	0.271	0.186	-0.078	0.835	0.028
ENSG00000126787.13_1	ENSG00000126787.13	DLGAP5	chr14	-	ENSG00000126787.13:s:55191463-55191608	ENSG00000126787.13_1_ale_1	False	ale^1	False	Proximal	55191176-55191463	False	False	False	0.067	0.019	-0.028	0.63	0.146
ENSG00000178974.11_1	ENSG00000178974.11	FBXO34	chr14	+	ENSG00000178974.11:t:55350381-55350550	ENSG00000178974.11_1_CE_1	False	cassette^1	False	C2_A	55332945-55350381	False	False	False	0.138	0.264	0.094	0.762	0.03
ENSG00000178974.11_2	ENSG00000178974.11	FBXO34	chr14	+	ENSG00000178974.11:t:55369861-55370053	ENSG00000178974.11_2_AI_1	True	ir^1|afe^1	True	C2_C1_intron	55368129-55369860	False	False	False	0.977	0.885	-0.049	0.644	0.094
ENSG00000198964.14_2	ENSG00000198964.14	SGMS1	chr10	-	ENSG00000198964.14:s:50311262-50311415	ENSG00000198964.14_2_AI_1	False	ir^1	True	C1_C2_intron	50308149-50311261	False	True	True	0.413	0.111	-0.274	0.993	0.0
ENSG00000198964.14_1	ENSG00000198964.14	SGMS1	chr10	-	ENSG00000198964.14:s:50460673-50460814	ENSG00000198964.14_1_ale_1	True	ale^1|afe^3|putative_afe^4|multi_exon_spanning^1|other^1	False	Proximal	50460152-50460673	False	False	False	0.028	0.05	0.015	0.438	0.289
ENSG00000188976.11_5	ENSG00000188976.11	NOC2L	chr1	-	ENSG00000188976.11:s:945042-945146	ENSG00000188976.11_5_A5_1	False	alt5^1	False	Proximal	944800-945042	False	False	False	0.469	0.475	0.0	0.557	0.162
ENSG00000188976.11_1	ENSG00000188976.11	NOC2L	chr1	-	ENSG00000188976.11:s:958929-959081	ENSG00000188976.11_1_AI_2	True	ir^2	False	C1_C2_intron	958459-958928	False	False	False	0.115	0.092	-0.019	0.58	0.215
ENSG00000188976.11_2	ENSG00000188976.11	NOC2L	chr1	-	ENSG00000188976.11:s:957099-957273	ENSG00000188976.11_2_AI_1	False	ir^1	True	C1_C2_intron	957026-957098	False	True	True	0.06	0.161	0.091	1.0	0.0
ENSG00000188976.11_3	ENSG00000188976.11	NOC2L	chr1	-	ENSG00000188976.11:s:955923-956013	ENSG00000188976.11_3_AI_1	True	ir^1|ale^1	True	C1_C2_intron	954524-955922	False	False	False	0.073	0.108	0.024	0.572	0.21
ENSG00000188976.11_4	ENSG00000188976.11	NOC2L	chr1	-	ENSG00000188976.11:s:948131-948232	ENSG00000188976.11_4_AI_1	False	ir^1	True	C1_C2_intron	947061-948130	False	False	False	0.038	0.058	0.016	0.527	0.273
ENSG00000187961.15_3	ENSG00000187961.15	KLHL17	chr1	+	ENSG00000187961.15:s:962704-962917	ENSG00000187961.15_3_A3_1	False	alt3^1	False	Proximal	962917-963032	False	False	False	0.217	0.428	0.166	0.86	0.009
ENSG00000187961.15_1	ENSG00000187961.15	KLHL17	chr1	+	ENSG00000187961.15:s:961629-961750	ENSG00000187961.15_1_A5_1	False	alt5^1	False	Proximal	961750-961826	False	False	False	0.911	0.935	0.014	0.468	0.253
ENSG00000187961.15_5	ENSG00000187961.15	KLHL17	chr1	+	ENSG00000187961.15:s:964107-964180	ENSG00000187961.15_5_A5_1	False	alt5^1	False	Proximal	964180-964349	False	False	False	0.686	0.65	-0.021	0.635	0.079
ENSG00000187961.15_2	ENSG00000187961.15	KLHL17	chr1	+	ENSG00000187961.15:s:961826-962047	ENSG00000187961.15_2_AI_1	False	ir^1	False	C1_C2_intron	962048-962354	False	False	False	0.922	0.914	-0.002	0.455	0.33
ENSG00000187961.15_4	ENSG00000187961.15	KLHL17	chr1	+	ENSG00000187961.15:s:963337-963504	ENSG00000187961.15_4_AI_1	False	ir^1	True	C1_C2_intron	963505-963551	False	False	False	0.512	0.546	0.026	0.626	0.13
ENSG00000126777.18_2	ENSG00000126777.18	KTN1	chr14	+	ENSG00000126777.18:s:55661522-55661857	ENSG00000126777.18_2_CE_1	True	cassette^2|tandem_cassette^1|multi_exon_spanning^1	False	C1_A	55661612-55663955	False	False	False	0.45	0.431	-0.018	0.574	0.146
ENSG00000126777.18_3	ENSG00000126777.18	KTN1	chr14	+	ENSG00000126777.18:s:55672929-55673012	ENSG00000126777.18_3_CE_1	False	cassette^1	False	C1_A	55673012-55673172	False	True	True	0.473	0.216	-0.257	1.0	0.0
ENSG00000126777.18_4	ENSG00000126777.18	KTN1	chr14	+	ENSG00000126777.18:s:55679565-55679685	ENSG00000126777.18_4_CE_1	False	cassette^1	False	C1_A	55679685-55680686	False	False	False	0.019	0.06	0.013	0.416	0.317
ENSG00000126777.18_1	ENSG00000126777.18	KTN1	chr14	+	ENSG00000126777.18:t:55611977-55612571	ENSG00000126777.18_1_afe_1	False	afe^1	False	Proximal	55601880-55612019	False	True	True	0.835	0.464	-0.307	0.916	0.002
ENSG00000188290.11_1	ENSG00000188290.11	HES4	chr1	-	ENSG00000188290.11:s:999866-1000172	ENSG00000188290.11_1_CE_1	False	cassette^1	False	C1_A	999787-999866	False	False	False	0.829	0.944	0.08	0.735	0.035
ENSG00000187608.10_1	ENSG00000187608.10	ISG15	chr1	+	ENSG00000187608.10:t:1013984-1014540	ENSG00000187608.10_1_afe_1	False	afe^1	False	Proximal	1013576-1013984	False	False	False	0.819	0.982	0.118	0.894	0.012
ENSG00000188157.15_4	ENSG00000188157.15	AGRN	chr1	+	ENSG00000188157.15:s:1050726-1050837	ENSG00000188157.15_4_CE_1	False	cassette^1	False	C1_A	1050837-1051032	False	False	False	0.022	0.085	0.042	0.736	0.075
ENSG00000188157.15_1	ENSG00000188157.15	AGRN	chr1	+	ENSG00000188157.15:s:1034867-1035324	ENSG00000188157.15_1_AI_1	False	ir^1	True	C1_C2_intron	1035325-1040664	False	True	True	0.04	0.234	0.162	0.962	0.003
ENSG00000188157.15_2	ENSG00000188157.15	AGRN	chr1	+	ENSG00000188157.15:s:1046160-1046349	ENSG00000188157.15_2_AI_1	False	ir^1	True	C1_C2_intron	1046350-1046396	False	True	True	0.261	0.485	0.217	1.0	0.0
ENSG00000188157.15_3	ENSG00000188157.15	AGRN	chr1	+	ENSG00000188157.15:s:1046820-1046957	ENSG00000188157.15_3_AI_1	False	ir^1	True	C1_C2_intron	1046958-1047200	False	False	False	0.711	0.824	0.093	0.828	0.027
ENSG00000188157.15_5	ENSG00000188157.15	AGRN	chr1	+	ENSG00000188157.15:s:1051728-1051815	ENSG00000188157.15_5_AI_1	True	ir^2|multi_exon_spanning^1	True	C1_C2_intron	1051816-1051985	False	True	True	0.121	0.225	0.089	0.918	0.014
ENSG00000188157.15_6	ENSG00000188157.15	AGRN	chr1	+	ENSG00000188157.15:s:1053753-1053977	ENSG00000188157.15_6_AI_1	False	ir^1	True	C1_C2_intron	1053978-1054447	False	False	False	0.422	0.261	-0.127	0.897	0.012
ENSG00000258791.9_1	ENSG00000258791.9	LINC00520	chr14	-	ENSG00000258791.9:t:55793368-55793456	ENSG00000258791.9_1_CE_1	False	cassette^1	False	C2_A	55793456-55794284	False	False	False	0.102	0.012	-0.06	0.833	0.036
ENSG00000258791.9_2	ENSG00000258791.9	LINC00520	chr14	-	ENSG00000258791.9:s:55793368-55793456	ENSG00000258791.9_2_A3_1	True	alt3^1|ale^2|other^1	False	Proximal	55782980-55793368	False	False	False	0.009	0.078	0.042	0.579	0.114
ENSG00000070269.14_1	ENSG00000070269.14	TMEM260	chr14	+	ENSG00000070269.14:t:56625382-56625530	ENSG00000070269.14_1_afe_1	False	afe^1	False	Proximal	56621702-56625382	False	False	False	0.95	0.931	-0.003	0.465	0.242
ENSG00000070269.14_2	ENSG00000070269.14	TMEM260	chr14	+	ENSG00000070269.14:s:56636508-56636598	ENSG00000070269.14_2_ale_1	False	ale^1	False	Proximal	56636598-56647243	False	False	False	0.941	0.896	-0.024	0.547	0.128
ENSG00000153560.12_2	ENSG00000153560.12	UBP1	chr3	-	ENSG00000153560.12:s:33404522-33404644	ENSG00000153560.12_2_AI_3	True	cassette^1|ir^3|afe^2|putative_ale^1|multi_exon_spanning^1	True	C1_C2_spliced	33404408-33404522	False	False	False	0.341	0.436	0.064	0.731	0.034
ENSG00000153560.12_3	ENSG00000153560.12	UBP1	chr3	-	ENSG00000153560.12:s:33397045-33398438	ENSG00000153560.12_3_CE_1	False	cassette^1	False	C1_A	33396878-33397045	False	False	False	0.337	0.32	-0.015	0.56	0.148
ENSG00000153560.12_4	ENSG00000153560.12	UBP1	chr3	-	ENSG00000153560.12:s:33392363-33392614	ENSG00000153560.12_4_AI_1	False	ir^1	False	C1_C2_intron	33390369-33392362	False	False	False	0.297	0.332	0.008	0.632	0.113
ENSG00000153560.12_1	ENSG00000153560.12	UBP1	chr3	-	ENSG00000153560.12:s:33416758-33416834	ENSG00000153560.12_1_ale_1	False	ale^1	False	Proximal	33416100-33416758	False	False	False	0.056	0.022	-0.022	0.553	0.202
ENSG00000163539.18_2	ENSG00000163539.18	CLASP2	chr3	-	ENSG00000163539.18:s:33644382-33644903	ENSG00000163539.18_2_A3_1	False	alt3^1	False	Proximal	33632374-33644757	False	False	False	0.227	0.113	-0.078	0.736	0.039
ENSG00000163539.18_4	ENSG00000163539.18	CLASP2	chr3	-	ENSG00000163539.18:s:33551252-33551395	ENSG00000163539.18_4_AI_1	False	ir^1	True	C1_C2_intron	33545112-33551251	False	False	False	0.097	0.072	-0.015	0.543	0.22
ENSG00000163539.18_1	ENSG00000163539.18	CLASP2	chr3	-	ENSG00000163539.18:s:33684359-33684456	ENSG00000163539.18_1_ale_1	False	ale^1	False	Proximal	33683604-33684359	False	False	False	0.014	0.087	0.05	0.674	0.081
ENSG00000163539.18_3	ENSG00000163539.18	CLASP2	chr3	-	ENSG00000163539.18:t:33592395-33592496	ENSG00000163539.18_3_TCE_1	False	tandem_cassette^1|multi_exon_spanning^1	False	C2_A_Last	33592496-33594951	False	False	False	0.062	0.091	0.017	0.535	0.178
ENSG00000286257.2_1	ENSG00000286257.2	ENSG00000286257	chr14	-	ENSG00000286257.2:t:56954167-56954584	ENSG00000286257.2_1_A5_1	False	alt5^1	False	Proximal	56954584-56992069	False	False	False	0.078	0.152	0.044	0.623	0.087
ENSG00000070367.16_1	ENSG00000070367.16	EXOC5	chr14	-	ENSG00000070367.16:s:57246711-57246858	ENSG00000070367.16_1_CE_1	False	cassette^1	False	C1_A	57244359-57246711	False	False	False	0.996	0.976	-0.003	0.266	0.63
ENSG00000053770.12_1	ENSG00000053770.12	AP5M1	chr14	+	ENSG00000053770.12:t:57274244-57275469	ENSG00000053770.12_1_afe_2	True	afe^4|multi_exon_spanning^1|other^1	False	Proximal	57273750-57274244	False	False	False	0.057	0.006	-0.022	0.53	0.209
ENSG00000139977.14_1	ENSG00000139977.14	NAA30	chr14	+	ENSG00000139977.14:t:57396752-57396875	ENSG00000139977.14_1_A5_1	True	alt5^1|afe^2	False	Proximal	57391728-57396752	False	False	False	0.891	0.929	0.013	0.572	0.124
ENSG00000170248.15_2	ENSG00000170248.15	PDCD6IP	chr3	+	ENSG00000170248.15:t:33828481-33828969	ENSG00000170248.15_2_AI_3	True	alt3^1|ir^4	True	C2_C1_intron	33827960-33828480	False	False	False	0.206	0.182	-0.021	0.592	0.165
ENSG00000170248.15_1	ENSG00000170248.15	PDCD6IP	chr3	+	ENSG00000170248.15:s:33825187-33825340	ENSG00000170248.15_1_AI_1	False	ir^1	True	C1_C2_intron	33825341-33826479	False	False	False	0.136	0.211	0.048	0.707	0.077
ENSG00000170248.15_3	ENSG00000170248.15	PDCD6IP	chr3	+	ENSG00000170248.15:s:33845419-33845588	ENSG00000170248.15_3_AI_1	False	ir^1	True	C1_C2_intron	33845589-33852487	False	False	False	0.082	0.133	0.045	0.663	0.089
ENSG00000139971.15_1	ENSG00000139971.15	ARMH4	chr14	-	ENSG00000139971.15:s:58297955-58298139	ENSG00000139971.15_1_AI_1	False	ir^1	True	C1_C2_intron	58291708-58297954	False	False	False	0.11	0.08	-0.009	0.615	0.123
