# {
#     "command": "/media/storage/home/mariokeller/applications/MAJIQv2.3_Oct_2022/bin/voila modulize --changing-between-group-dpsi 0.02 --non-changing-between-group-dpsi 0.02 --changing-between-group-dpsi-secondary 0.01 --probability-changing-threshold 0.9 --probability-non-changing-threshold 0.5 --show-all -j 6 -d /media/storage/home/mklostermann/spezialisierung_wise22/lisa_SFPQ/modulise/SFPQ_K562_Control-SFPQ_K562_shRNA /media/storage/home/mklostermann/spezialisierung_wise22/lisa_SFPQ/build/splicegraph.sql /media/storage/home/mklostermann/spezialisierung_wise22/lisa_SFPQ/dpsi/SFPQ_K562_Control-SFPQ_K562_shRNA.deltapsi.voila",
#     "dpsi_changing_threshold": 0.02,
#     "dpsi_nonchanging_threshold": 0.5,
#     "dpsi_probability_changing_threshold": 0.9,
#     "voila_version": "2.4.dev3+g85d07819"
# }
module_id	gene_id	gene_name	seqid	strand	lsv_id	event_id	complex	denovo	reference_exon_coord	spliced_with	spliced_with_coord	junction_name	junction_coord	event_non_changing	event_changing	junction_changing	SFPQ_K562_Control_median_psi	SFPQ_K562_shRNA_median_psi	SFPQ_K562_shRNA-SFPQ_K562_Control_median_dpsi	SFPQ_K562_shRNA-SFPQ_K562_Control_probability_changing	SFPQ_K562_shRNA-SFPQ_K562_Control_probability_non_changing
ENSG00000130475.16_3	ENSG00000130475.16	FCHO1	chr19	+	ENSG00000130475.16:t:17755048-17755622	ENSG00000130475.16_3_A3A5_1	True	False	17755122-17755191	E1	17754592-17754758	E2_E1_J1	17754681-17755122	False	False	False	0.116	0.056	-0.043	0.712	0.082
ENSG00000130475.16_3	ENSG00000130475.16	FCHO1	chr19	+	ENSG00000130475.16:t:17755048-17755622	ENSG00000130475.16_3_A3A5_1	True	False	17755122-17755191	E1	17754592-17754758	E2_E1_J2	17754758-17755118	False	False	False	0.151	0.111	-0.023	0.529	0.189
ENSG00000122674.12_1	ENSG00000122674.12	CCZ1	chr7	+	ENSG00000122674.12:s:5911861-5912112	ENSG00000122674.12_1_A3A5_1	False	False	5911861-5912112	E2	5912843-5912954	E1_E2_J1	5911922-5912843	False	False	False	0.913	0.903	-0.003	0.526	0.18
ENSG00000122674.12_1	ENSG00000122674.12	CCZ1	chr7	+	ENSG00000122674.12:s:5911861-5912112	ENSG00000122674.12_1_A3A5_1	False	True	5911861-5912112	E2	5912843-5912954	E1_E2_J2	5912112-5912842	False	False	False	0.087	0.097	0.003	0.526	0.18
ENSG00000122674.12_1	ENSG00000122674.12	CCZ1	chr7	+		ENSG00000122674.12_1_A3A5_1	False	False	5912843-5912954	E1	5911861-5912112	E2_E1_J1	5911922-5912843	False	False						
ENSG00000122674.12_1	ENSG00000122674.12	CCZ1	chr7	+		ENSG00000122674.12_1_A3A5_1	False	True	5912843-5912954	E1	5911861-5912112	E2_E1_J2	5912112-5912842	False	False						
ENSG00000163867.17_1	ENSG00000163867.17	ZMYM6	chr1	-		ENSG00000163867.17_1_A3A5_1	True	False	35031526-35031711	E2	35030547-35030756	E1_E2_J1	35030756-35031631	False	False						
ENSG00000163867.17_1	ENSG00000163867.17	ZMYM6	chr1	-		ENSG00000163867.17_1_A3A5_1	True	False	35031526-35031711	E2	35030547-35030756	E1_E2_J2	35030713-35031526	False	False						
ENSG00000163867.17_1	ENSG00000163867.17	ZMYM6	chr1	-	ENSG00000163867.17:t:35030149-35030756	ENSG00000163867.17_1_A3A5_1	True	False	35030547-35030756	E1	35031526-35031711	E2_E1_J1	35030756-35031631	False	False	False	0.081	0.135	0.03	0.607	0.101
ENSG00000163867.17_1	ENSG00000163867.17	ZMYM6	chr1	-	ENSG00000163867.17:t:35030149-35030756	ENSG00000163867.17_1_A3A5_1	True	False	35030547-35030756	E1	35031526-35031711	E2_E1_J2	35030713-35031526	False	False	False	0.152	0.119	-0.03	0.624	0.078
ENSG00000196683.12_1	ENSG00000196683.12	TOMM7	chr7	-	ENSG00000196683.12:s:22822677-22822849	ENSG00000196683.12_1_A3A5_1	False	False	22822728-22822849	E2	22818000-22818048	E1_E2_J1	22818048-22822677	False	False	False	0.951	0.915	-0.021	0.524	0.223
ENSG00000196683.12_1	ENSG00000196683.12	TOMM7	chr7	-	ENSG00000196683.12:s:22822677-22822849	ENSG00000196683.12_1_A3A5_1	False	True	22822728-22822849	E2	22818000-22818048	E1_E2_J2	22818047-22822728	False	False	False	0.03	0.056	0.032	0.713	0.106
ENSG00000196683.12_1	ENSG00000196683.12	TOMM7	chr7	-	ENSG00000196683.12:t:22817663-22818335	ENSG00000196683.12_1_A3A5_1	False	False	22818000-22818048	E1	22822728-22822849	E2_E1_J1	22818048-22822677	False	False	True	0.965	0.929	-0.049	0.965	0.013
ENSG00000196683.12_1	ENSG00000196683.12	TOMM7	chr7	-	ENSG00000196683.12:t:22817663-22818335	ENSG00000196683.12_1_A3A5_1	False	True	22818000-22818048	E1	22822728-22822849	E2_E1_J2	22818047-22822728	False	False	False	0.031	0.057	0.036	0.769	0.102
ENSG00000116922.15_1	ENSG00000116922.15	C1orf109	chr1	-		ENSG00000116922.15_1_A3A5_1	True	False	37690002-37690529	E2	37689768-37689886	E1_E2_J1	37689886-37690216	False	False						
ENSG00000116922.15_1	ENSG00000116922.15	C1orf109	chr1	-		ENSG00000116922.15_1_A3A5_1	True	False	37690002-37690529	E2	37689768-37689886	E1_E2_J2	37689883-37690002	False	False						
ENSG00000116922.15_1	ENSG00000116922.15	C1orf109	chr1	-	ENSG00000116922.15:t:37689768-37689886	ENSG00000116922.15_1_A3A5_1	True	False	37689768-37689886	E1	37690002-37690529	E2_E1_J1	37689886-37690216	False	False	False	0.085	0.082	-0.001	0.49	0.216
ENSG00000116922.15_1	ENSG00000116922.15	C1orf109	chr1	-	ENSG00000116922.15:t:37689768-37689886	ENSG00000116922.15_1_A3A5_1	True	False	37689768-37689886	E1	37690002-37690529	E2_E1_J2	37689883-37690002	False	False	False	0.147	0.173	0.021	0.613	0.101
ENSG00000116922.15_1	ENSG00000116922.15	C1orf109	chr1	-		ENSG00000116922.15_1_A3A5_2	True	False	37690216-37690529	E2	37689768-37689886	E1_E2_J1	37689886-37690002	False	False						
ENSG00000116922.15_1	ENSG00000116922.15	C1orf109	chr1	-		ENSG00000116922.15_1_A3A5_2	True	False	37690216-37690529	E2	37689768-37689886	E1_E2_J2	37689883-37690216	False	False						
ENSG00000116922.15_1	ENSG00000116922.15	C1orf109	chr1	-	ENSG00000116922.15:t:37689768-37689886	ENSG00000116922.15_1_A3A5_2	True	False	37689768-37689886	E1	37690216-37690529	E2_E1_J1	37689886-37690002	False	False	False	0.032	0.142	0.081	0.816	0.03
ENSG00000116922.15_1	ENSG00000116922.15	C1orf109	chr1	-	ENSG00000116922.15:t:37689768-37689886	ENSG00000116922.15_1_A3A5_2	True	False	37689768-37689886	E1	37690216-37690529	E2_E1_J2	37689883-37690216	False	False	False	0.467	0.513	0.014	0.622	0.092
ENSG00000116922.15_1	ENSG00000116922.15	C1orf109	chr1	-		ENSG00000116922.15_1_A3A5_3	True	False	37690334-37690529	E2	37689768-37689886	E1_E2_J1	37689886-37690002	False	False						
ENSG00000116922.15_1	ENSG00000116922.15	C1orf109	chr1	-		ENSG00000116922.15_1_A3A5_3	True	False	37690334-37690529	E2	37689768-37689886	E1_E2_J2	37689883-37690334	False	False						
ENSG00000116922.15_1	ENSG00000116922.15	C1orf109	chr1	-	ENSG00000116922.15:t:37689768-37689886	ENSG00000116922.15_1_A3A5_3	True	False	37689768-37689886	E1	37690334-37690529	E2_E1_J1	37689886-37690002	False	False	False	0.032	0.142	0.081	0.816	0.03
ENSG00000116922.15_1	ENSG00000116922.15	C1orf109	chr1	-	ENSG00000116922.15:t:37689768-37689886	ENSG00000116922.15_1_A3A5_3	True	False	37689768-37689886	E1	37690334-37690529	E2_E1_J2	37689883-37690334	False	False	False	0.234	0.081	-0.139	0.884	0.01
ENSG00000116922.15_1	ENSG00000116922.15	C1orf109	chr1	-		ENSG00000116922.15_1_A3A5_4	True	False	37690334-37690529	E2	37689768-37689886	E1_E2_J1	37689886-37690216	False	False						
ENSG00000116922.15_1	ENSG00000116922.15	C1orf109	chr1	-		ENSG00000116922.15_1_A3A5_4	True	False	37690334-37690529	E2	37689768-37689886	E1_E2_J2	37689883-37690334	False	False						
ENSG00000116922.15_1	ENSG00000116922.15	C1orf109	chr1	-	ENSG00000116922.15:t:37689768-37689886	ENSG00000116922.15_1_A3A5_4	True	False	37689768-37689886	E1	37690334-37690529	E2_E1_J1	37689886-37690216	False	False	False	0.085	0.082	-0.001	0.49	0.216
ENSG00000116922.15_1	ENSG00000116922.15	C1orf109	chr1	-	ENSG00000116922.15:t:37689768-37689886	ENSG00000116922.15_1_A3A5_4	True	False	37689768-37689886	E1	37690334-37690529	E2_E1_J2	37689883-37690334	False	False	False	0.234	0.081	-0.139	0.884	0.01
ENSG00000127586.17_1	ENSG00000127586.17	CHTF18	chr16	+	ENSG00000127586.17:s:788165-788775	ENSG00000127586.17_1_A3A5_1	True	False	788165-788775	E2	788931-789125	E1_E2_J1	788756-788931	False	False	False	0.095	0.112	0.009	0.537	0.173
ENSG00000127586.17_1	ENSG00000127586.17	CHTF18	chr16	+	ENSG00000127586.17:s:788165-788775	ENSG00000127586.17_1_A3A5_1	True	False	788165-788775	E2	788931-789125	E1_E2_J2	788775-788928	False	False	False	0.02	0.05	0.011	0.398	0.347
ENSG00000127586.17_1	ENSG00000127586.17	CHTF18	chr16	+		ENSG00000127586.17_1_A3A5_1	True	False	788931-789125	E1	788165-788775	E2_E1_J1	788756-788931	False	False						
ENSG00000127586.17_1	ENSG00000127586.17	CHTF18	chr16	+		ENSG00000127586.17_1_A3A5_1	True	False	788931-789125	E1	788165-788775	E2_E1_J2	788775-788928	False	False						
ENSG00000167967.16_4	ENSG00000167967.16	E4F1	chr16	+	ENSG00000167967.16:s:2233438-2233651	ENSG00000167967.16_4_A3A5_1	True	False	2233438-2233651	E2	2233882-2233990	E1_E2_J1	2233647-2233882	False	False	True	0.834	0.599	-0.202	0.945	0.003
ENSG00000167967.16_4	ENSG00000167967.16	E4F1	chr16	+	ENSG00000167967.16:s:2233438-2233651	ENSG00000167967.16_4_A3A5_1	True	True	2233438-2233651	E2	2233882-2233990	E1_E2_J2	2233651-2233885	False	False	True	0.03	0.182	0.139	0.949	0.005
ENSG00000167967.16_4	ENSG00000167967.16	E4F1	chr16	+		ENSG00000167967.16_4_A3A5_1	True	False	2233882-2233990	E1	2233438-2233651	E2_E1_J1	2233647-2233882	False	False						
ENSG00000167967.16_4	ENSG00000167967.16	E4F1	chr16	+		ENSG00000167967.16_4_A3A5_1	True	True	2233882-2233990	E1	2233438-2233651	E2_E1_J2	2233651-2233885	False	False						
ENSG00000214078.13_1	ENSG00000214078.13	CPNE1	chr20	-	ENSG00000214078.13:s:35664760-35664877	ENSG00000214078.13_1_A3A5_1	True	False	35664760-35664877	E2	35658930-35659014	E1_E2_J1	35659014-35664802	False	False	False	0.018	0.036	0.004	0.298	0.551
ENSG00000214078.13_1	ENSG00000214078.13	CPNE1	chr20	-	ENSG00000214078.13:s:35664760-35664877	ENSG00000214078.13_1_A3A5_1	True	False	35664760-35664877	E2	35658930-35659014	E1_E2_J2	35658982-35664760	False	False	False	0.149	0.119	-0.021	0.53	0.191
ENSG00000214078.13_1	ENSG00000214078.13	CPNE1	chr20	-	ENSG00000214078.13:t:35658930-35659014	ENSG00000214078.13_1_A3A5_1	True	False	35658930-35659014	E1	35664760-35664877	E2_E1_J1	35659014-35664802	False	False	False	0.028	0.056	0.018	0.519	0.264
ENSG00000214078.13_1	ENSG00000214078.13	CPNE1	chr20	-	ENSG00000214078.13:t:35658930-35659014	ENSG00000214078.13_1_A3A5_1	True	False	35658930-35659014	E1	35664760-35664877	E2_E1_J2	35658982-35664760	False	False	False	0.229	0.193	-0.024	0.603	0.147
ENSG00000143228.13_1	ENSG00000143228.13	NUF2	chr1	+	ENSG00000143228.13:s:163321890-163322212	ENSG00000143228.13_1_A3A5_1	True	False	163321890-163322212	E2	163326075-163326174	E1_E2_J1	163322066-163326075	False	False	False	0.005	0.054	0.016	0.459	0.293
ENSG00000143228.13_1	ENSG00000143228.13	NUF2	chr1	+	ENSG00000143228.13:s:163321890-163322212	ENSG00000143228.13_1_A3A5_1	True	False	163321890-163322212	E2	163326075-163326174	E1_E2_J2	163322212-163326032	False	False	False	0.364	0.334	-0.014	0.519	0.193
ENSG00000143228.13_1	ENSG00000143228.13	NUF2	chr1	+	ENSG00000143228.13:t:163326032-163326174	ENSG00000143228.13_1_A3A5_1	True	False	163326075-163326174	E1	163321890-163322212	E2_E1_J1	163322066-163326075	False	False	False	0.005	0.051	0.014	0.428	0.33
ENSG00000143228.13_1	ENSG00000143228.13	NUF2	chr1	+	ENSG00000143228.13:t:163326032-163326174	ENSG00000143228.13_1_A3A5_1	True	False	163326075-163326174	E1	163321890-163322212	E2_E1_J2	163322212-163326032	False	False	False	0.352	0.322	-0.014	0.515	0.199
ENSG00000244462.8_1	ENSG00000244462.8	RBM12	chr20	-	ENSG00000244462.8:s:35664760-35664956	ENSG00000244462.8_1_A3A5_1	True	False	35664760-35664956	E2	35658930-35659014	E1_E2_J1	35659014-35664802	False	False	False	0.025	0.053	0.017	0.495	0.292
ENSG00000244462.8_1	ENSG00000244462.8	RBM12	chr20	-	ENSG00000244462.8:s:35664760-35664956	ENSG00000244462.8_1_A3A5_1	True	False	35664760-35664956	E2	35658930-35659014	E1_E2_J2	35658982-35664760	False	False	False	0.215	0.181	-0.021	0.592	0.16
ENSG00000244462.8_1	ENSG00000244462.8	RBM12	chr20	-		ENSG00000244462.8_1_A3A5_1	True	False	35658930-35659014	E1	35664760-35664956	E2_E1_J1	35659014-35664802	False	False						
ENSG00000244462.8_1	ENSG00000244462.8	RBM12	chr20	-		ENSG00000244462.8_1_A3A5_1	True	False	35658930-35659014	E1	35664760-35664956	E2_E1_J2	35658982-35664760	False	False						
ENSG00000126602.11_2	ENSG00000126602.11	TRAP1	chr16	-	ENSG00000126602.11:s:3661987-3662267	ENSG00000126602.11_2_A3A5_1	True	False	3662060-3662267	E2	3658793-3658865	E1_E2_J1	3658865-3661987	False	False	False	0.902	0.863	-0.025	0.592	0.192
ENSG00000126602.11_2	ENSG00000126602.11	TRAP1	chr16	-	ENSG00000126602.11:s:3661987-3662267	ENSG00000126602.11_2_A3A5_1	True	True	3662060-3662267	E2	3658793-3658865	E1_E2_J2	3658803-3662060	False	False	False	0.04	0.086	0.038	0.753	0.098
ENSG00000126602.11_2	ENSG00000126602.11	TRAP1	chr16	-		ENSG00000126602.11_2_A3A5_1	True	False	3658793-3658865	E1	3662060-3662267	E2_E1_J1	3658865-3661987	False	False						
ENSG00000126602.11_2	ENSG00000126602.11	TRAP1	chr16	-		ENSG00000126602.11_2_A3A5_1	True	True	3658793-3658865	E1	3662060-3662267	E2_E1_J2	3658803-3662060	False	False						
ENSG00000110514.19_2	ENSG00000110514.19	MADD	chr11	+	ENSG00000110514.19:s:47284941-47285194	ENSG00000110514.19_2_A3A5_1	True	False	47284941-47285194	E2	47285451-47285590	E1_E2_J1	47285065-47285451	False	False	False	0.3	0.255	-0.031	0.593	0.121
ENSG00000110514.19_2	ENSG00000110514.19	MADD	chr11	+	ENSG00000110514.19:s:47284941-47285194	ENSG00000110514.19_2_A3A5_1	True	True	47284941-47285194	E2	47285451-47285590	E1_E2_J2	47285194-47285478	False	False	False	0.087	0.078	-0.007	0.437	0.294
ENSG00000110514.19_2	ENSG00000110514.19	MADD	chr11	+		ENSG00000110514.19_2_A3A5_1	True	False	47285451-47285590	E1	47284941-47285194	E2_E1_J1	47285065-47285451	False	False						
ENSG00000110514.19_2	ENSG00000110514.19	MADD	chr11	+		ENSG00000110514.19_2_A3A5_1	True	True	47285451-47285590	E1	47284941-47285194	E2_E1_J2	47285194-47285478	False	False						
ENSG00000123444.14_1	ENSG00000123444.14	KBTBD4	chr11	-		ENSG00000123444.14_1_A3A5_1	True	False	47578828-47578976	E2	47577411-47578055	E1_E2_J1	47578055-47578933	False	False						
ENSG00000123444.14_1	ENSG00000123444.14	KBTBD4	chr11	-		ENSG00000123444.14_1_A3A5_1	True	False	47578828-47578976	E2	47577411-47578055	E1_E2_J2	47578028-47578828	False	False						
ENSG00000123444.14_1	ENSG00000123444.14	KBTBD4	chr11	-	ENSG00000123444.14:t:47577404-47578077	ENSG00000123444.14_1_A3A5_1	True	False	47577411-47578055	E1	47578828-47578976	E2_E1_J1	47578055-47578933	False	False	False	0.007	0.086	0.036	0.501	0.147
ENSG00000123444.14_1	ENSG00000123444.14	KBTBD4	chr11	-	ENSG00000123444.14:t:47577404-47578077	ENSG00000123444.14_1_A3A5_1	True	False	47577411-47578055	E1	47578828-47578976	E2_E1_J2	47578028-47578828	False	False	False	0.208	0.098	-0.056	0.686	0.044
ENSG00000123444.14_1	ENSG00000123444.14	KBTBD4	chr11	-		ENSG00000123444.14_1_A3A5_2	True	False	47578912-47578976	E2	47577411-47578055	E1_E2_J1	47578055-47578933	False	False						
ENSG00000123444.14_1	ENSG00000123444.14	KBTBD4	chr11	-		ENSG00000123444.14_1_A3A5_2	True	False	47578912-47578976	E2	47577411-47578055	E1_E2_J2	47578028-47578912	False	False						
ENSG00000123444.14_1	ENSG00000123444.14	KBTBD4	chr11	-	ENSG00000123444.14:t:47577404-47578077	ENSG00000123444.14_1_A3A5_2	True	False	47577411-47578055	E1	47578912-47578976	E2_E1_J1	47578055-47578933	False	False	False	0.007	0.086	0.036	0.501	0.147
ENSG00000123444.14_1	ENSG00000123444.14	KBTBD4	chr11	-	ENSG00000123444.14:t:47577404-47578077	ENSG00000123444.14_1_A3A5_2	True	False	47577411-47578055	E1	47578912-47578976	E2_E1_J2	47578028-47578912	False	False	False	0.053	0.005	-0.014	0.358	0.338
ENSG00000128534.8_1	ENSG00000128534.8	LSM8	chr7	+	ENSG00000128534.8:s:118184144-118184517	ENSG00000128534.8_1_A3A5_1	False	False	118184144-118184280	E2	118185654-118185694	E1_E2_J1	118184254-118185654	False	False	False	0.826	0.858	0.023	0.593	0.214
ENSG00000128534.8_1	ENSG00000128534.8	LSM8	chr7	+	ENSG00000128534.8:s:118184144-118184517	ENSG00000128534.8_1_A3A5_1	False	False	118184144-118184280	E2	118185654-118185694	E1_E2_J2	118184280-118185647	False	False	False	0.122	0.107	-0.01	0.397	0.427
ENSG00000128534.8_1	ENSG00000128534.8	LSM8	chr7	+		ENSG00000128534.8_1_A3A5_1	False	False	118185654-118185694	E1	118184144-118184280	E2_E1_J1	118184254-118185654	False	False						
ENSG00000128534.8_1	ENSG00000128534.8	LSM8	chr7	+		ENSG00000128534.8_1_A3A5_1	False	False	118185654-118185694	E1	118184144-118184280	E2_E1_J2	118184280-118185647	False	False						
ENSG00000242588.7_7	ENSG00000242588.7	ENSG00000242588	chr7	+	ENSG00000242588.7:s:128626295-128626530	ENSG00000242588.7_7_A3A5_1	True	True	128626295-128626530	E2	128629394-128629458	E1_E2_J1	128626455-128629394	False	False	False	0.099	0.064	-0.021	0.501	0.228
ENSG00000242588.7_7	ENSG00000242588.7	ENSG00000242588	chr7	+	ENSG00000242588.7:s:128626295-128626530	ENSG00000242588.7_7_A3A5_1	True	True	128626295-128626530	E2	128629394-128629458	E1_E2_J2	128626530-128629372	False	False	False	0.114	0.087	-0.016	0.494	0.249
ENSG00000242588.7_7	ENSG00000242588.7	ENSG00000242588	chr7	+		ENSG00000242588.7_7_A3A5_1	True	True	128629394-128629458	E1	128626295-128626530	E2_E1_J1	128626455-128629394	False	False						
ENSG00000242588.7_7	ENSG00000242588.7	ENSG00000242588	chr7	+		ENSG00000242588.7_7_A3A5_1	True	True	128629394-128629458	E1	128626295-128626530	E2_E1_J2	128626530-128629372	False	False						
ENSG00000156831.8_1	ENSG00000156831.8	NSMCE2	chr8	+	ENSG00000156831.8:s:125091679-125091958	ENSG00000156831.8_1_A3A5_1	True	False	125091679-125091958	E2	125102051-125102146	E1_E2_J1	125091900-125102051	False	False	False	0.048	0.031	-0.009	0.404	0.361
ENSG00000156831.8_1	ENSG00000156831.8	NSMCE2	chr8	+	ENSG00000156831.8:s:125091679-125091958	ENSG00000156831.8_1_A3A5_1	True	False	125091679-125091958	E2	125102051-125102146	E1_E2_J2	125091958-125102014	False	False	False	0.28	0.198	-0.062	0.733	0.054
ENSG00000156831.8_1	ENSG00000156831.8	NSMCE2	chr8	+	ENSG00000156831.8:t:125102014-125102146	ENSG00000156831.8_1_A3A5_1	True	False	125102051-125102146	E1	125091679-125091958	E2_E1_J1	125091900-125102051	False	False	False	0.056	0.035	-0.013	0.479	0.267
ENSG00000156831.8_1	ENSG00000156831.8	NSMCE2	chr8	+	ENSG00000156831.8:t:125102014-125102146	ENSG00000156831.8_1_A3A5_1	True	False	125102051-125102146	E1	125091679-125091958	E2_E1_J2	125091958-125102014	False	False	False	0.326	0.23	-0.078	0.781	0.037
ENSG00000249859.14_2	ENSG00000249859.14	PVT1	chr8	+	ENSG00000249859.14:s:128070160-128071539	ENSG00000249859.14_2_A3A5_1	True	False	128070160-128070361	E2	128096521-128096654	E1_E2_J1	128070272-128096521	False	False	False	0.04	0.055	0.012	0.44	0.317
ENSG00000249859.14_2	ENSG00000249859.14	PVT1	chr8	+	ENSG00000249859.14:s:128070160-128071539	ENSG00000249859.14_2_A3A5_1	True	False	128070160-128070361	E2	128096521-128096654	E1_E2_J2	128070361-128096518	False	False	True	0.326	0.224	-0.09	0.905	0.014
ENSG00000249859.14_2	ENSG00000249859.14	PVT1	chr8	+	ENSG00000249859.14:t:128096518-128096763	ENSG00000249859.14_2_A3A5_1	True	False	128096521-128096654	E1	128070160-128070361	E2_E1_J1	128070272-128096521	False	False	False	0.027	0.031	0.0	0.224	0.764
ENSG00000249859.14_2	ENSG00000249859.14	PVT1	chr8	+	ENSG00000249859.14:t:128096518-128096763	ENSG00000249859.14_2_A3A5_1	True	False	128096521-128096654	E1	128070160-128070361	E2_E1_J2	128070361-128096518	False	False	True	0.222	0.13	-0.089	0.963	0.006
ENSG00000100083.19_5	ENSG00000100083.19	GGA1	chr22	+	ENSG00000100083.19:s:37629998-37630299	ENSG00000100083.19_5_A3A5_1	False	True	37629998-37630170	E2	37630907-37631099	E1_E2_J1	37630162-37630907	False	False	False	0.061	0.033	-0.017	0.503	0.238
ENSG00000100083.19_5	ENSG00000100083.19	GGA1	chr22	+	ENSG00000100083.19:s:37629998-37630299	ENSG00000100083.19_5_A3A5_1	False	False	37629998-37630170	E2	37630907-37631099	E1_E2_J2	37630170-37630903	False	False	False	0.909	0.922	0.01	0.466	0.262
ENSG00000100083.19_5	ENSG00000100083.19	GGA1	chr22	+		ENSG00000100083.19_5_A3A5_1	False	True	37630907-37631099	E1	37629998-37630170	E2_E1_J1	37630162-37630907	False	False						
ENSG00000100083.19_5	ENSG00000100083.19	GGA1	chr22	+		ENSG00000100083.19_5_A3A5_1	False	False	37630907-37631099	E1	37629998-37630170	E2_E1_J2	37630170-37630903	False	False						
ENSG00000183891.6_1	ENSG00000183891.6	TTC32	chr2	-		ENSG00000183891.6_1_A3A5_1	True	True	19901030-19901641	E2	19897869-19898163	E1_E2_J1	19898163-19901476	False	False						
ENSG00000183891.6_1	ENSG00000183891.6	TTC32	chr2	-		ENSG00000183891.6_1_A3A5_1	True	False	19901030-19901641	E2	19897869-19898163	E1_E2_J2	19898035-19901030	False	False						
ENSG00000183891.6_1	ENSG00000183891.6	TTC32	chr2	-	ENSG00000183891.6:t:19897869-19898477	ENSG00000183891.6_1_A3A5_1	True	True	19897869-19898163	E1	19901030-19901641	E2_E1_J1	19898163-19901476	False	False	False	0.063	0.033	-0.024	0.605	0.202
